fy_year,vintage,region,value
2036,2025-07,SA,7.6916326621316
2037,2025-07,SA,7.92474639429579
2038,2025-07,SA,7.61839720217809
2039,2025-07,SA,7.6644195617896
2040,2025-07,SA,7.38515614628898
2041,2025-07,SA,7.67437799586632
2042,2025-07,SA,7.17370925664016
2043,2025-07,SA,7.04399358377929
2044,2025-07,SA,6.62159983792862
2045,2025-07,SA,6.79413964527458
2046,2025-07,SA,6.9039286695618
2047,2025-07,SA,6.83076924297245
2048,2025-07,SA,6.44913889189092
2049,2025-07,SA,6.80254581264127
2050,2025-07,SA,5.7407961646327
2051,2025-07,SA,5.81249811173361
2052,2025-07,SA,6.29282268361532
2053,2025-07,SA,5.72674687043505
2054,2025-07,SA,5.85209449323261
2055,2025-07,SA,5.88702286036098
2056,2025-07,SA,6.42314388227529
2057,2025-07,SA,6.37028719582169
2058,2025-07,SA,6.57978494171639
2059,2025-07,SA,7.24048024684069
2060,2025-07,SA,6.74716801562403
2026,2025-07,VIC,7.20566643984124
2027,2025-07,VIC,4.95948775428432
2028,2025-07,VIC,3.98629686475432
2029,2025-07,VIC,4.3527173137262
2030,2025-07,VIC,3.77089620605793
2031,2025-07,VIC,3.74248483889212
2032,2025-07,VIC,3.99871134477318
2033,2025-07,VIC,3.77474413872885
2034,2025-07,VIC,3.76504030564411
2035,2025-07,VIC,3.78418945508517
2036,2025-07,VIC,5.47775568226677
2037,2025-07,VIC,6.4375705209574
2038,2025-07,VIC,7.70196567265598
2039,2025-07,VIC,8.73530943389701
2040,2025-07,VIC,9.86660106494827
2041,2025-07,VIC,8.75543948092673
2042,2025-07,VIC,9.00954296541825
2043,2025-07,VIC,9.43171250383996
2044,2025-07,VIC,10.4500151109605
2045,2025-07,VIC,10.2545098808449
2046,2025-07,VIC,10.2261004360082
2047,2025-07,VIC,10.6237910269209
2048,2025-07,VIC,10.1480007160116
2049,2025-07,VIC,10.2237449889593
2050,2025-07,VIC,10.1714689219782
2051,2025-07,VIC,10.2038854949538
2052,2025-07,VIC,10.3674546001691
2053,2025-07,VIC,10.2606999836481
2054,2025-07,VIC,10.4363192173395
2055,2025-07,VIC,10.5185223583822
2056,2025-07,VIC,10.6690755520528
2057,2025-07,VIC,10.6948258554064
2058,2025-07,VIC,10.6932035092609
2059,2025-07,VIC,10.9913357833102
2060,2025-07,VIC,12.7447502602686
2026,2025-07,TAS,2.60677046843341
2027,2025-07,TAS,2.38538930253306
2028,2025-07,TAS,2.29827479317861
2029,2025-07,TAS,2.12652080689933
2030,2025-07,TAS,1.9750373908187
2031,2025-07,TAS,1.84469549131544
2032,2025-07,TAS,1.8400683386411
2033,2025-07,TAS,1.56424077646709
2034,2025-07,TAS,1.63554202341386
2035,2025-07,TAS,1.60094045783127
2036,2025-07,TAS,1.90146537401768
2037,2025-07,TAS,1.72616804714689
2038,2025-07,TAS,1.61472217941944
2039,2025-07,TAS,1.65442621092855
2040,2025-07,TAS,1.67470332622151
2041,2025-07,TAS,1.98942675296319
2042,2025-07,TAS,2.20173780196695
2043,2025-07,TAS,2.13085666186303
2044,2025-07,TAS,2.03528173615734
2045,2025-07,TAS,2.35645303435789
2046,2025-07,TAS,2.34497557915959
2047,2025-07,TAS,2.41484524558681
2048,2025-07,TAS,2.296571883381
2049,2025-07,TAS,2.34086490194158
2050,2025-07,TAS,2.42374931392364
2051,2025-07,TAS,2.35397337696669
2052,2025-07,TAS,2.03195147081375
2053,2025-07,TAS,2.21630468040204
2054,2025-07,TAS,2.41304666306708
2055,2025-07,TAS,2.44474550495627
2056,2025-07,TAS,2.17494760198037
2057,2025-07,TAS,2.42106796426244
2058,2025-07,TAS,2.42939091939506
2059,2025-07,TAS,2.37914287984219
2060,2025-07,TAS,2.15638154762522
2024,2024-05,NSW,12.49
2025,2024-05,NSW,6.2
2026,2024-05,NSW,9.05
2027,2024-05,NSW,6.16
2028,2024-05,NSW,6.41
2029,2024-05,NSW,8.46
2030,2024-05,NSW,5.13
2031,2024-05,NSW,4.33
2032,2024-05,NSW,4.78
2033,2024-05,NSW,4.61
2034,2024-05,NSW,5.18
2035,2024-05,NSW,5.17
2036,2024-05,NSW,7.74
2037,2024-05,NSW,8.11
2038,2024-05,NSW,8.63
2039,2024-05,NSW,8.95
2040,2024-05,NSW,9.59
2041,2024-05,NSW,6.84
2042,2024-05,NSW,7.36
2043,2024-05,NSW,7.25
2044,2024-05,NSW,7.73
2045,2024-05,NSW,8.82
2046,2024-05,NSW,8.7
2047,2024-05,NSW,8.8
2048,2024-05,NSW,9.31
2049,2024-05,NSW,9.62
2050,2024-05,NSW,8.75
2051,2024-05,NSW,9.13
2052,2024-05,NSW,8.75
2053,2024-05,NSW,8.67
2054,2024-05,NSW,8.62
2055,2024-05,NSW,8.66
2056,2024-05,NSW,8.99
2057,2024-05,NSW,8.9
2058,2024-05,NSW,8.92
2059,2024-05,NSW,8.82
2060,2024-05,NSW,8.45
2024,2024-05,QLD,11.64
2025,2024-05,QLD,9.21
2026,2024-05,QLD,8.95
2027,2024-05,QLD,8.96
2028,2024-05,QLD,9.84
2029,2024-05,QLD,10.06
2030,2024-05,QLD,9.79
2031,2024-05,QLD,8.81
2032,2024-05,QLD,6.44
2033,2024-05,QLD,5.57
2034,2024-05,QLD,7.2
2035,2024-05,QLD,7.36
2036,2024-05,QLD,10.91
2037,2024-05,QLD,11.37
2038,2024-05,QLD,11.36
2039,2024-05,QLD,9.99
2040,2024-05,QLD,9.12
2041,2024-05,QLD,9.56
2042,2024-05,QLD,8.66
2043,2024-05,QLD,8.6
2044,2024-05,QLD,7.87
2045,2024-05,QLD,7.29
2046,2024-05,QLD,7.2
2047,2024-05,QLD,6.43
2048,2024-05,QLD,6.21
2049,2024-05,QLD,5.61
2050,2024-05,QLD,8.0
2051,2024-05,QLD,8.1
2052,2024-05,QLD,7.68
2053,2024-05,QLD,8.21
2054,2024-05,QLD,8.42
2055,2024-05,QLD,8.08
2056,2024-05,QLD,7.49
2057,2024-05,QLD,8.83
2058,2024-05,QLD,8.54
2059,2024-05,QLD,8.69
2060,2024-05,QLD,8.42
2024,2024-05,SA,9.12
2025,2024-05,SA,8.81
2026,2024-05,SA,7.65
2027,2024-05,SA,6.37
2028,2024-05,SA,5.45
2029,2024-05,SA,6.72
2030,2024-05,SA,6.25
2031,2024-05,SA,7.23
2032,2024-05,SA,6.88
2033,2024-05,SA,8.67
2034,2024-05,SA,8.45
2035,2024-05,SA,8.3
2036,2024-05,SA,10.12
2037,2024-05,SA,9.28
2038,2024-05,SA,10.1
2039,2024-05,SA,10.09
2040,2024-05,SA,9.93
2041,2024-05,SA,10.1
2042,2024-05,SA,7.65
2043,2024-05,SA,8.52
2044,2024-05,SA,9.78
2045,2024-05,SA,9.06
2046,2024-05,SA,9.08
2047,2024-05,SA,9.15
2048,2024-05,SA,10.86
2049,2024-05,SA,10.81
2050,2024-05,SA,10.61
2051,2024-05,SA,10.86
2052,2024-05,SA,11.36
2053,2024-05,SA,10.45
2054,2024-05,SA,10.57
2055,2024-05,SA,10.59
2056,2024-05,SA,11.28
2057,2024-05,SA,10.78
2058,2024-05,SA,10.93
2059,2024-05,SA,11.33
2060,2024-05,SA,12.1
2024,2024-05,VIC,8.23
2025,2024-05,VIC,6.19
2026,2024-05,VIC,5.0
2027,2024-05,VIC,4.46
2028,2024-05,VIC,3.9
2029,2024-05,VIC,5.11
2030,2024-05,VIC,3.53
2031,2024-05,VIC,3.49
2032,2024-05,VIC,2.92
2033,2024-05,VIC,1.79
2034,2024-05,VIC,2.39
2035,2024-05,VIC,2.4
2036,2024-05,VIC,8.88
2037,2024-05,VIC,8.43
2038,2024-05,VIC,8.33
2039,2024-05,VIC,7.59
2040,2024-05,VIC,11.38
2041,2024-05,VIC,10.37
2042,2024-05,VIC,11.8
2043,2024-05,VIC,11.82
2044,2024-05,VIC,11.36
2045,2024-05,VIC,8.97
2046,2024-05,VIC,8.96
2047,2024-05,VIC,8.94
2048,2024-05,VIC,9.07
2049,2024-05,VIC,9.02
2050,2024-05,VIC,8.75
2051,2024-05,VIC,9.04
2052,2024-05,VIC,9.26
2053,2024-05,VIC,9.24
2054,2024-05,VIC,9.37
2055,2024-05,VIC,9.5
2056,2024-05,VIC,9.43
2057,2024-05,VIC,9.33
2058,2024-05,VIC,9.09
2059,2024-05,VIC,9.54
2060,2024-05,VIC,9.82
2024,2024-05,TAS,2.73
2025,2024-05,TAS,2.41
2026,2024-05,TAS,2.36
2027,2024-05,TAS,2.38
2028,2024-05,TAS,2.36
2029,2024-05,TAS,2.59
2030,2024-05,TAS,2.5
2031,2024-05,TAS,2.51
2032,2024-05,TAS,2.21
2033,2024-05,TAS,2.14
2034,2024-05,TAS,2.06
2035,2024-05,TAS,2.2
2036,2024-05,TAS,1.91
2037,2024-05,TAS,2.21
2038,2024-05,TAS,2.13
2039,2024-05,TAS,1.98
2040,2024-05,TAS,1.95
2041,2024-05,TAS,2.01
2042,2024-05,TAS,2.01
2043,2024-05,TAS,2.01
2044,2024-05,TAS,1.82
2045,2024-05,TAS,1.94
2046,2024-05,TAS,1.91
2047,2024-05,TAS,1.9
2048,2024-05,TAS,2.21
2049,2024-05,TAS,2.21
2050,2024-05,TAS,2.07
2051,2024-05,TAS,2.14
2052,2024-05,TAS,2.19
2053,2024-05,TAS,2.31
2054,2024-05,TAS,2.33
2055,2024-05,TAS,2.43
2056,2024-05,TAS,2.45
2057,2024-05,TAS,2.51
2058,2024-05,TAS,2.48
2059,2024-05,TAS,2.62
2060,2024-05,TAS,2.56
2025,2024-11,NSW,6.59
2026,2024-11,NSW,9.11
2027,2024-11,NSW,6.01
2028,2024-11,NSW,5.57
2029,2024-11,NSW,7.56
2030,2024-11,NSW,5.34
2031,2024-11,NSW,4.33
2032,2024-11,NSW,5.07
2033,2024-11,NSW,5.42
2034,2024-11,NSW,5.14
2035,2024-11,NSW,5.72
2036,2024-11,NSW,7.71
2037,2024-11,NSW,8.84
2038,2024-11,NSW,9.32
2039,2024-11,NSW,9.23
2040,2024-11,NSW,9.21
2041,2024-11,NSW,6.71
2042,2024-11,NSW,7.05
2043,2024-11,NSW,7.08
2044,2024-11,NSW,7.49
2045,2024-11,NSW,8.48
2046,2024-11,NSW,8.5
2047,2024-11,NSW,8.88
2048,2024-11,NSW,8.93
2049,2024-11,NSW,9.07
2050,2024-11,NSW,8.09
2051,2024-11,NSW,8.3
2052,2024-11,NSW,8.47
2053,2024-11,NSW,7.86
2054,2024-11,NSW,8.33
2055,2024-11,NSW,8.35
2056,2024-11,NSW,7.77
2057,2024-11,NSW,8.47
2058,2024-11,NSW,8.26
2059,2024-11,NSW,8.18
2060,2024-11,NSW,8.09
2025,2024-11,QLD,9.01
2026,2024-11,QLD,7.95
2027,2024-11,QLD,7.93
2028,2024-11,QLD,8.56
2029,2024-11,QLD,8.82
2030,2024-11,QLD,8.89
2031,2024-11,QLD,8.15
2032,2024-11,QLD,5.99
2033,2024-11,QLD,6.39
2034,2024-11,QLD,6.5
2035,2024-11,QLD,6.7
2036,2024-11,QLD,8.84
2037,2024-11,QLD,9.3
2038,2024-11,QLD,8.52
2039,2024-11,QLD,8.39
2040,2024-11,QLD,8.09
2041,2024-11,QLD,8.47
2042,2024-11,QLD,7.51
2043,2024-11,QLD,7.49
2044,2024-11,QLD,6.69
2045,2024-11,QLD,6.3
2046,2024-11,QLD,6.14
2047,2024-11,QLD,5.81
2048,2024-11,QLD,5.21
2049,2024-11,QLD,4.81
2050,2024-11,QLD,6.59
2051,2024-11,QLD,6.6
2052,2024-11,QLD,6.58
2053,2024-11,QLD,7.09
2054,2024-11,QLD,7.08
2055,2024-11,QLD,7.09
2056,2024-11,QLD,6.99
2057,2024-11,QLD,7.45
2058,2024-11,QLD,7.11
2059,2024-11,QLD,7.69
